59.1	7155131.5
59.57	7531750.0
60.02	8090262.0
60.85	8720976.0
61.96	9550812.0
63.14	10478280.0
63.93	11573487.0
64.91	12832807.0
65.72	14171998.0
66.57	15631421.0
67.32	17180854.0
67.86	18744084.0
68.3	20570296.0
69.02	22430400.0
69.49	24208084.0
69.83	25781460.0
69.79	27208302.0
69.83	28640420.0
69.97	29919462.0
70.28	31239124.0
70.39	32430814.0
70.38	33579972.0
70.33	34619680.0
70.27	35640080.0
70.26	36629244.0
70.15	37506296.0
70.09	38289760.0
70.06	39140808.0
70.0	39768672.0
70.03	40412280.0
69.92	41035608.0
69.86	41573136.0
69.81	42196116.0
69.82	42809624.0
69.75	43310352.0
69.7	43685500.0
69.67	44143128.0
69.68	44585404.0
69.68	45031664.0
